# voyage-mods.zh.tsv — poedb.cn "Map Deep Water Chart Mods /144" 中文词缀语料
#
# 来源: https://poedb.tw/cn/Sandy_Seabed_Chart 页 "Map Deep Water Chart Mods /144" 标签页
# 抓取日期: 2026-08-06。poedb.cn 直接使用国服客户端 stat_descriptions.txt 渲染。
# 状态: poedb 渲染文本 —— 尚未与真实国服客户端 Ctrl+C 复制文本逐条比对验证。
# 用途: 中文客户端支持的中文词缀候选词表；入库 mods.ts 的 aliases 前必须用
#       真实客户端文本复核（沿用 borderMods.ko.ts 的 client-screenshot 溯源制度）。
#
# 列: modId<TAB>scope<TAB>appEnglish<TAB>poedbChinese<TAB>level<TAB>preSuf<TAB>notes
#   modId       app 词缀 id；self 行使用 cm-<stat>-<value>（值不在 app 词池时带 "(poedb)" 标记）
#   scope       self | adjacent | global | uncharted-implicit
#   appEnglish  app 的 canonical 英文文本；self 行为按 app 句式模板生成
#   poedbChinese poedb.cn 渲染文本；poedb 用 <br> 分行处在本文件用 ／ 连接
#   level       poedb 词缀等级（self/adj/voy 行的 tier 参考）
#   preSuf      poedb 标注的前缀/后缀/传奇
#   notes       差异与注意事项
#
# 已知差异（需用客户端复制文本裁定，勿直接采信）:
#  1) 数值档位: poedb quantity=25/28/32/40/55、rarity=16/22/30/38；
#     app 词池 quantity=20/28/32/45、rarity=12/18/20/30；
#     真实复制样本(fixtures)出现过 quantity 20/32、rarity 20。
#  2) 奖励行范围措辞: poedb 渲染为"相邻区域中找到的…提高 X%"，但韩文客户端
#     复制文本为"이 지역에서 발견하는…30% 증가"(此区域)。CN 客户端的实际
#     范围措辞与 headerStats 标签(物品数量: +X% (强化))需实测。
#  3) roll 格式: poedb 显示 "(1-2)"，游戏内复制文本为 "1(1-2)" 内联格式（韩文样本如此）。
#  4) app 的 zh 显示字段是人工意译（如"相邻区域额外包含 1-2 个被囚禁的怪物"），
#     与 poedb/客户端原文（"相邻区域包含 (1-2) 个额外被囚禁的怪物"）不同，不可混用。
#
modId	scope	appEnglish	poedbChinese	level	preSuf	notes
self-quant-25	self	25% increased Quantity of Items found in this Area	怪物有 20% 的几率避免元素异常状态／相邻区域中找到的物品数量提高 25%	1	后缀	downside: 元素异常状态避免；quantity 25 不在 app 词池(app: 20/28/32/45)
self-quant-32	self	32% increased Quantity of Items found in this Area	怪物有 40% 的几率避免元素异常状态／相邻区域中找到的物品数量提高 32%	68	后缀	downside: 元素异常状态避免；= cm-quant-32
self-quant-40	self	40% increased Quantity of Items found in this Area	怪物有 60% 的几率避免元素异常状态／相邻区域中找到的物品数量提高 40%	80	后缀	downside: 元素异常状态避免；quantity 40 不在 app 词池
self-quant-55	self	55% increased Quantity of Items found in this Area	怪物有 80% 的几率避免元素异常状态／相邻区域中找到的物品数量提高 55%	83	后缀	downside: 元素异常状态避免；quantity 55 不在 app 词池
self-quant-25	self	25% increased Quantity of Items found in this Area	怪物的物理减伤提高 (5-8)%／相邻区域中找到的物品数量提高 25%	1	前缀	downside: 物理减伤 (5-8)%
self-quant-32	self	32% increased Quantity of Items found in this Area	怪物的物理减伤提高 (9-13)%／相邻区域中找到的物品数量提高 32%	68	前缀	downside: 物理减伤 (9-13)%
self-quant-40	self	40% increased Quantity of Items found in this Area	怪物的物理减伤提高 (14-20)%／相邻区域中找到的物品数量提高 40%	80	前缀	downside: 物理减伤 (14-20)%
self-quant-55	self	55% increased Quantity of Items found in this Area	怪物的物理减伤提高 (21-35)%／相邻区域中找到的物品数量提高 55%	83	前缀	downside: 物理减伤 (21-35)%
self-quant-25	self	25% increased Quantity of Items found in this Area	怪物生命总增 (10-20)%／怪物免疫晕眩／相邻区域中找到的物品数量提高 25%	1	前缀	downside: 生命总增 (10-20)% + 免疫晕眩(特殊行)
self-quant-25	self	25% increased Quantity of Items found in this Area	怪物生命总增 (10-19)%／相邻区域中找到的物品数量提高 25%	1	前缀	downside: 生命总增 (10-19)%
self-quant-32	self	32% increased Quantity of Items found in this Area	怪物生命总增 (20-34)%／相邻区域中找到的物品数量提高 32%	68	前缀	downside: 生命总增 (20-34)%
